Date,Price - Close,Price - High,Price - Low,Price to Earnings Ratio,Enterprise Value to Sales
5/29/2018,2689.86,2710.67,2676.81,16.44374845,2.349911186
5/30/2018,2724.01,2729.34,2702.43,16.64678753,2.373278112
5/31/2018,2705.27,2722.5,2700.68,16.52261869,2.359269695
6/1/2018,2734.62,2736.93,2718.7,16.69714218,2.381201686
6/4/2018,2746.87,2749.16,2740.54,16.76874063,2.391098396
6/5/2018,2748.8,2752.61,2739.51,16.77804342,2.394391822
6/6/2018,2772.35,2772.39,2748.46,16.9140623,2.407214669
6/7/2018,2770.37,2779.9,2760.16,16.88652063,2.403153241
6/8/2018,2779.03,2779.39,2763.59,16.9186457,2.408825031
6/11/2018,2782,2790.21,2780.17,16.92802713,2.410882842
6/12/2018,2786.85,2789.8,2778.78,16.95462479,2.416201128
6/13/2018,2775.63,2791.47,2774.65,16.87483586,2.407288489
6/14/2018,2782.49,2789.06,2776.52,16.8915752,2.418710692
6/15/2018,2779.66,2782.81,2761.73,16.86939997,2.415456211
6/18/2018,2773.75,2774.99,2757.12,16.82045489,2.410216075
6/19/2018,2762.59,2765.05,2743.19,16.7475264,2.40045489
6/20/2018,2767.32,2774.86,2763.91,16.76364696,2.404376018
6/21/2018,2749.76,2769.28,2744.39,16.64584045,2.389216266
6/22/2018,2754.88,2764.17,2752.68,16.66993273,2.39471192
6/25/2018,2717.07,2742.94,2698.67,16.42453608,2.363453447
6/26/2018,2723.06,2732.91,2715.6,16.45761197,2.36965963
6/27/2018,2699.63,2746.09,2699.38,16.30773089,2.352722585
6/28/2018,2716.31,2724.34,2691.99,16.40533549,2.364228246
6/29/2018,2718.37,2743.26,2718.03,16.41524518,2.365497368
7/2/2018,2726.71,2727.26,2698.95,16.45142989,2.367917182
7/3/2018,2713.22,2736.58,2711.16,16.36068575,2.358436233
7/5/2018,2736.61,2737.83,2716.02,16.4972699,2.377659513
7/6/2018,2759.82,2764.41,2733.52,16.62948999,2.395719462
7/9/2018,2784.17,2784.65,2768.51,16.76117158,2.407349573
7/10/2018,2793.84,2795.58,2786.24,16.82123254,2.417614724
7/11/2018,2774.02,2785.91,2770.77,16.70590803,2.403041218
7/12/2018,2798.29,2799.22,2781.53,16.85071115,2.423620042
7/13/2018,2801.31,2804.53,2791.69,16.85236932,2.427199256
7/16/2018,2798.43,2803.71,2793.39,16.83308423,2.417240798
7/17/2018,2809.55,2814.19,2789.24,16.90001587,2.42821673
7/18/2018,2815.62,2816.76,2805.89,16.92134676,2.428677347
7/19/2018,2804.49,2812.05,2799.77,16.84548877,2.422835188
7/20/2018,2801.83,2809.7,2800.01,16.80485986,2.416189396
7/23/2018,2806.98,2808.61,2795.14,16.82033956,2.415413836
7/24/2018,2820.4,2829.99,2811.12,16.89546325,2.424714925
7/25/2018,2846.07,2848.03,2817.73,17.03603295,2.438662756
7/26/2018,2837.44,2845.57,2835.26,16.98361797,2.431638818
7/27/2018,2818.82,2843.17,2808.34,16.84398898,2.411729124
7/30/2018,2802.6,2821.74,2798.11,16.71688264,2.394509345
7/31/2018,2816.29,2824.46,2808.06,16.79003983,2.406904002
8/1/2018,2813.36,2825.83,2805.85,16.75102074,2.40444352
8/2/2018,2827.22,2829.91,2796.34,16.83971294,2.416337542
8/3/2018,2840.35,2840.38,2827.37,16.91893152,2.42554247
8/6/2018,2850.4,2853.29,2835.98,16.96459521,2.43241389
8/7/2018,2858.45,2863.43,2855.92,17.01122162,2.438723764
8/8/2018,2857.7,2862.44,2853.09,17.00446367,2.436393111
8/9/2018,2853.58,2862.48,2851.98,16.96756277,2.433527328
8/10/2018,2833.28,2842.2,2825.81,16.84650646,2.419543237
8/13/2018,2821.93,2843.4,2819.88,16.77037778,2.423727774
8/14/2018,2839.96,2843.11,2826.58,16.866546,2.434833629
8/15/2018,2818.37,2827.95,2802.49,16.73613645,2.418438738
8/16/2018,2840.69,2850.49,2831.44,16.8695523,2.434158252
8/17/2018,2850.13,2855.63,2833.73,16.92144599,2.440757138
8/20/2018,2857.05,2859.76,2850.62,16.94331634,2.443541341
8/21/2018,2862.96,2873.23,2861.32,16.97424077,2.447696958
8/22/2018,2861.82,2867.54,2856.05,16.96739352,2.447294423
8/23/2018,2856.98,2868.78,2854.03,16.93589801,2.444573935
8/24/2018,2874.69,2876.16,2862.35,17.03913706,2.458495257
8/27/2018,2896.74,2898.25,2884.69,17.1508193,2.471629796
8/28/2018,2897.52,2903.77,2893.5,17.14766323,2.471761336
8/29/2018,2914.04,2916.5,2898.4,17.24164082,2.485734741
8/30/2018,2901.13,2912.46,2895.22,17.16326553,2.477439302
8/31/2018,2901.52,2906.32,2891.73,17.16528948,2.476076995
9/4/2018,2896.72,2900.18,2885.13,17.11757499,2.4695273
9/5/2018,2888.6,2894.21,2876.92,17.05594624,2.461344272
9/6/2018,2878.05,2892.05,2867.29,16.98718668,2.45503789
9/7/2018,2871.68,2883.81,2864.12,16.93977309,2.447933252
9/10/2018,2877.13,2886.93,2875.94,16.96521156,2.454103184
9/11/2018,2887.89,2892.52,2866.78,17.01864275,2.46220876
9/12/2018,2888.92,2894.65,2879.2,17.02592359,2.465692781
9/13/2018,2904.18,2906.76,2896.39,17.11609702,2.478885528
9/14/2018,2904.98,2908.3,2895.77,17.11729595,2.477452887
9/17/2018,2888.8,2904.65,2886.16,17.00027054,2.462766691
9/18/2018,2904.31,2911.17,2890.43,17.07127652,2.474502386
9/19/2018,2907.95,2912.36,2903.82,17.08409447,2.470770944
9/20/2018,2930.75,2934.8,2919.73,17.21588728,2.48686339
9/21/2018,2929.67,2940.91,2927.11,17.20835317,2.486343276
9/24/2018,2919.37,2923.79,2912.63,17.13116854,2.480143064
9/25/2018,2915.56,2923.95,2913.7,17.1084122,2.478528922
9/26/2018,2905.97,2931.15,2903.28,17.03849435,2.472984791
9/27/2018,2914,2927.22,2909.27,17.0818319,2.480045361
9/28/2018,2913.98,2920.53,2907.5,17.07111233,2.479481477
10/1/2018,2924.59,2937.06,2917.91,17.12636015,2.485926945
10/2/2018,2923.43,2931.42,2919.37,17.11647228,2.48439631
